name,value,year,lastValue
Liberal,662,2016,0
Liberal,1219,2016.5,662
Liberal,1972,2017,1219
Liberal,2530,2017.5,1972
Liberal,2911,2018,2530
Liberal,3187,2018.5,2911
Liberal,3359,2019,3187
CPC,235,2016,0
CPC,381,2016.5,235
CPC,619,2017,381
CPC,816,2017.5,619
CPC,962,2018,816
CPC,1024,2018.5,962
CPC,1065,2019,1024
NDP,154,2016,0
NDP,223,2016.5,154
NDP,263,2017,223
NDP,343,2017.5,263
NDP,384,2018,343
NDP,419,2018.5,384
NDP,429,2019,419
